_id,total
"{""url"": ""www.euroweeklynews.com""}",1
"{""url"": ""www.businessinsider.com""}",148
"{""url"": ""www.spotboye.com""}",1
"{""url"": ""www.cardekho.com""}",621
"{""url"": ""phys.org""}",2
"{""url"": ""greekcitytimes.com""}",1
"{""url"": ""www.nasa.gov""}",1
"{""url"": ""www.foreignaffairs.com""}",1
"{""url"": ""www.eturbonews.com""}",3
"{""url"": ""www.offshorewind.biz""}",2
"{""url"": ""www.forexlive.com""}",6
"{""url"": ""business.financialpost.com""}",2
"{""url"": ""www.gizbot.com""}",6
"{""url"": ""www.mobileworldlive.com""}",2
"{""url"": ""ummid.com""}",1
"{""url"": ""www.finsmes.com""}",5
"{""url"": ""www.cogencis.com""}",1
"{""url"": ""www.ladbible.com""}",2
"{""url"": ""www.expresscomputer.in""}",3
"{""url"": ""u.today""}",284
"{""url"": ""odishabytes.com""}",6
"{""url"": ""www.weforum.org""}",12
"{""url"": ""finbold.com""}",1
"{""url"": ""www.thehealthsite.com""}",2
"{""url"": ""www.medscape.com""}",3
"{""url"": ""www.idiva.com""}",2
"{""url"": ""www.fxstreet.com""}",451
"{""url"": ""djmag.com""}",1
"{""url"": ""www.itprotoday.com""}",1
"{""url"": ""kr-asia.com""}",1
"{""url"": ""www.opindia.com""}",73
"{""url"": ""www.gsmarena.com""}",310
"{""url"": ""news.samsung.com""}",18
"{""url"": ""www.indialegallive.com""}",2
"{""url"": ""newsus.cgtn.com""}",3
"{""url"": ""hbr.org""}",5
"{""url"": ""www.hollywoodreporter.com""}",1
"{""url"": ""www.northeasttoday.in""}",1
"{""url"": ""www.notebookcheck.net""}",11
"{""url"": ""www.nature.com""}",2
"{""url"": ""cryptopotato.com""}",197
"{""url"": ""capital.com""}",1
"{""url"": ""usethebitcoin.com""}",2
"{""url"": ""pragativadi.com""}",1
"{""url"": ""www.dailyforex.com""}",1
"{""url"": ""www.lifestyleasia.com""}",1
"{""url"": ""www.news18.com""}",3071
"{""url"": ""mmb.moneycontrol.com""}",1
"{""url"": ""www.moneycontrol.com""}",22463
"{""url"": ""www.am-online.com""}",1
"{""url"": ""thesportsrush.com""}",1
"{""url"": ""www.indiaretailing.com""}",7
"{""url"": ""www.gamespot.com""}",2
"{""url"": ""www.the-sun.com""}",1
"{""url"": ""www.express.co.uk""}",23
"{""url"": ""www.npr.org""}",1
"{""url"": ""english.lokmat.com""}",16
"{""url"": ""www.siliconrepublic.com""}",2
"{""url"": ""en.ethereumworldnews.com""}",5
"{""url"": ""greentechlead.com""}",1
"{""url"": ""ledgerinsights.com""}",1
"{""url"": ""www.fiercetelecom.com""}",1
"{""url"": ""www.just-style.com""}",1
"{""url"": ""www.engadget.com""}",11
"{""url"": ""www.dailyfx.com""}",191
"{""url"": ""bfsi.eletsonline.com""}",3
"{""url"": ""www.prnewswire.com""}",16
"{""url"": ""arstechnica.com""}",1
"{""url"": ""www.ecowatch.com""}",1
"{""url"": ""www.thethings.com""}",1
"{""url"": ""www.khaleejtimes.com""}",273
"{""url"": ""www.digitaltrends.com""}",1
"{""url"": ""www.thetravel.com""}",1
"{""url"": ""www.theregister.co.uk""}",1
"{""url"": ""www.travelandleisure.com""}",1
"{""url"": ""www.thestandard.com.hk""}",1
"{""url"": ""www.overdrive.in""}",36
"{""url"": ""www.france24.com""}",2
"{""url"": ""www.bbc.com""}",140
"{""url"": ""www.cryptopolitan.com""}",2
"{""url"": ""cloudwars.co""}",8
"{""url"": ""www.rcrwireless.com""}",1
"{""url"": ""www.oxfordstudent.com""}",1
"{""url"": ""www.campaignasia.com""}",7
"{""url"": ""www.sentinelassam.com""}",2
"{""url"": ""www.insider.com""}",6
"{""url"": ""www.oreilly.com""}",1
"{""url"": ""www.huffingtonpost.in""}",3
"{""url"": ""ca.finance.yahoo.com""}",1
"{""url"": ""www.itproportal.com""}",1
"{""url"": ""www.newsbtc.com""}",55
"{""url"": ""www.vox.com""}",2
"{""url"": ""auto.ndtv.com""}",210
"{""url"": ""www.bizasialive.com""}",1
"{""url"": ""www.lonelyplanet.com""}",1
"{""url"": ""www.millenniumpost.in""}",3
"{""url"": ""www.campaignlive.co.uk""}",2
"{""url"": ""www.telegraph.co.uk""}",12
"{""url"": ""www.business-standard.com""}",5264
"{""url"": ""www.capitalmind.in""}",1
"{""url"": ""hypebeast.com""}",2
"{""url"": ""foxbaltimore.com""}",1
"{""url"": ""www.rt.com""}",14
"{""url"": ""amp.theguardian.com""}",7
"{""url"": ""www.unilever.com""}",2
"{""url"": ""news.yahoo.com""}",18
"{""url"": ""telanganatoday.com""}",135
"{""url"": ""dailybusinessgroup.co.uk""}",1
"{""url"": ""in.mashable.com""}",7
"{""url"": ""tech.hindustantimes.com""}",95
"{""url"": ""www.theedgemarkets.com""}",2
"{""url"": ""dailyhodl.com""}",32
"{""url"": ""www.tehrantimes.com""}",1
"{""url"": ""brandequity.economictimes.indiatimes.com""}",24
"{""url"": ""www.cartrade.com""}",1
"{""url"": ""bitcoinmagazine.com""}",5
"{""url"": ""www.techinafrica.com""}",1
"{""url"": ""www.livemint.com""}",14638
"{""url"": ""tecake.com""}",1
"{""url"": ""www.uctoday.com""}",1
"{""url"": ""news.sky.com""}",9
"{""url"": ""www.cartoq.com""}",1910
"{""url"": ""www.firstpost.com""}",316
"{""url"": ""www.taxscan.in""}",90
"{""url"": ""poetsandquants.com""}",1
"{""url"": ""www.carwale.com""}",441
"{""url"": ""www.techradar.com""}",19
"{""url"": ""skift.com""}",5
"{""url"": ""www.bloombergquint.com""}",3812
"{""url"": ""www.thelocal.de""}",4
"{""url"": ""www.scmp.com""}",14
"{""url"": ""www.thehindu.com""}",828
"{""url"": ""dotesports.com""}",1
"{""url"": ""www.greatandhra.com""}",105
"{""url"": ""www.dqindia.com""}",22
"{""url"": ""www.newswire.ca""}",1
"{""url"": ""www.expressandstar.com""}",1
"{""url"": ""coconuts.co""}",2
